,Callsign,Market,URL
0,KBJR,Duluth-Superior,http://www.stationindex.com/tv/callsign/KBJR
1,WACY,Green Bay-Appleton,http://www.stationindex.com/tv/callsign/WACY
2,WAOW,Wausau-Rhinelander,http://www.stationindex.com/tv/callsign/WAOW
3,WBAY,Green Bay-Appleton,http://www.stationindex.com/tv/callsign/WBAY
4,WBIJ,Wausau-Rhinelander,http://www.stationindex.com/tv/callsign/WBIJ
5,WBME-CD,Milwaukee,http://www.stationindex.com/tv/callsign/WBME-CD
6,WBUW,Madison,http://www.stationindex.com/tv/callsign/WBUW
7,WCGV,Milwaukee,http://www.stationindex.com/tv/callsign/WCGV
8,WDJT,Milwaukee,http://www.stationindex.com/tv/callsign/WDJT
9,WEAU,La Crosse-Eau Claire,http://www.stationindex.com/tv/callsign/WEAU
10,WEUX,La Crosse-Eau Claire,http://www.stationindex.com/tv/callsign/WEUX
11,WFRV,Green Bay-Appleton,http://www.stationindex.com/tv/callsign/WFRV
12,WFXS,Wausau-Rhinelander,http://www.stationindex.com/tv/callsign/WFXS
13,WGBA,Green Bay-Appleton,http://www.stationindex.com/tv/callsign/WGBA
14,WHA,Madison,http://www.stationindex.com/tv/callsign/WHA
15,WHLA,La Crosse-Eau Claire,http://www.stationindex.com/tv/callsign/WHLA
16,WHRM,Wausau-Rhinelander,http://www.stationindex.com/tv/callsign/WHRM
17,WHWC,La Crosse-Eau Claire,http://www.stationindex.com/tv/callsign/WHWC
18,WISC,Madison,http://www.stationindex.com/tv/callsign/WISC
19,WISN,Milwaukee,http://www.stationindex.com/tv/callsign/WISN
20,WITI,Milwaukee,http://www.stationindex.com/tv/callsign/WITI
21,WIWB,Green Bay-Appleton,http://www.stationindex.com/tv/callsign/WIWB
22,WIWN,Milwaukee,http://www.stationindex.com/tv/callsign/WIWN
23,WJFW,Wausau-Rhinelander,http://www.stationindex.com/tv/callsign/WJFW
24,WKBT,La Crosse-Eau Claire,http://www.stationindex.com/tv/callsign/WKBT
25,WKOW,Madison,http://www.stationindex.com/tv/callsign/WKOW
26,WLAX,La Crosse-Eau Claire,http://www.stationindex.com/tv/callsign/WLAX
27,WLEF,Wausau-Rhinelander,http://www.stationindex.com/tv/callsign/WLEF
28,WLUK,Green Bay-Appleton,http://www.stationindex.com/tv/callsign/WLUK
29,WMLW,Milwaukee,http://www.stationindex.com/tv/callsign/WMLW
30,WMSN,Madison,http://www.stationindex.com/tv/callsign/WMSN
31,WMTV,Madison,http://www.stationindex.com/tv/callsign/WMTV
32,WMVS,Milwaukee,http://www.stationindex.com/tv/callsign/WMVS
33,WMVT,Milwaukee,http://www.stationindex.com/tv/callsign/WMVT
34,WPNE,Green Bay-Appleton,http://www.stationindex.com/tv/callsign/WPNE
35,WPXE,Milwaukee,http://www.stationindex.com/tv/callsign/WPXE
36,WQOW,La Crosse-Eau Claire,http://www.stationindex.com/tv/callsign/WQOW
37,WSAW,Wausau-Rhinelander,http://www.stationindex.com/tv/callsign/WSAW
38,WTMJ,Milwaukee,http://www.stationindex.com/tv/callsign/WTMJ
39,WTPX,Wausau-Rhinelander,http://www.stationindex.com/tv/callsign/WTPX
40,WVCY,Milwaukee,http://www.stationindex.com/tv/callsign/WVCY
41,WVTV,Milwaukee,http://www.stationindex.com/tv/callsign/WVTV
42,WWRS,Milwaukee,http://www.stationindex.com/tv/callsign/WWRS
43,WXOW,La Crosse-Eau Claire,http://www.stationindex.com/tv/callsign/WXOW
44,WYOW,Wausau-Rhinelander,http://www.stationindex.com/tv/callsign/WYOW
