votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name,combined_fips
3780,5983,10107,0.373998219,0.591965964,"2,203",21.80%,WI,Adams County,55001
4136,3428,7926,0.521826899,0.432500631,708,8.93%,WI,Ashland County,55003
7881,13595,22514,0.350048858,0.603846496,"5,714",25.38%,WI,Barron County,55005
4953,4125,9491,0.521862817,0.434622274,828,8.72%,WI,Bayfield County,55007
53358,67192,127497,0.418503965,0.527008479,"13,834",10.85%,WI,Brown County,55009
2531,4049,6921,0.365698598,0.585031065,"1,518",21.93%,WI,Buffalo County,55011
2948,5412,8719,0.338112169,0.620713385,"2,464",28.26%,WI,Burnett County,55013
9634,15345,26429,0.364523819,0.580612206,"5,711",21.61%,WI,Calumet County,55015
11875,17912,31471,0.377331512,0.569158908,"6,037",19.18%,WI,Chippewa County,55017
4225,8645,13548,0.311854148,0.638101565,"4,420",32.62%,WI,Clark County,55019
13525,14160,29287,0.461808994,0.483490969,635,2.17%,WI,Columbia County,55021
3426,3844,7678,0.446209951,0.500651211,418,5.44%,WI,Crawford County,55023
217506,71270,304729,0.713768627,0.233879939,"146,236",47.99%,WI,Dane County,55025
13968,26643,42818,0.326217946,0.622238311,"12,675",29.60%,WI,Dodge County,55027
8026,8584,17398,0.461317393,0.493390045,558,3.21%,WI,Door County,55029
11342,9657,22185,0.511246338,0.435294118,"1,685",7.60%,WI,Douglas County,55031
9025,11487,22029,0.40968723,0.521448999,"2,462",11.18%,WI,Dunn County,55033
27271,23301,54080,0.50427145,0.430861686,"3,970",7.34%,WI,Eau Claire County,55035
666,1897,2651,0.251225952,0.715579027,"1,231",46.44%,WI,Florence County,55037
17391,31044,51094,0.340372646,0.607586018,"13,653",26.72%,WI,Fond du Lac County,55039
1583,2787,4507,0.351231418,0.618371422,"1,204",26.71%,WI,Forest County,55041
10047,12347,24051,0.417737308,0.513367428,"2,300",9.56%,WI,Grant County,55043
9121,8693,18791,0.485391943,0.462615082,428,2.28%,WI,Green County,55045
2700,6210,9315,0.289855072,0.666666667,"3,510",37.68%,WI,Green Lake County,55047
6669,4809,12123,0.550111359,0.396683989,"1,860",15.34%,WI,Iowa County,55049
1273,2090,3477,0.366120219,0.601092896,817,23.50%,WI,Iron County,55051
3821,4907,9202,0.415235818,0.533253641,"1,086",11.80%,WI,Jackson County,55053
16559,23409,42324,0.391243739,0.553090445,"6,850",16.18%,WI,Jefferson County,55055
4100,7188,11736,0.34935242,0.612474438,"3,088",26.31%,WI,Juneau County,55057
35770,36025,75825,0.471744148,0.475107155,255,0.34%,WI,Kenosha County,55059
3623,6616,10742,0.337274251,0.615900205,"2,993",27.86%,WI,Kewaunee County,55061
32402,26384,62785,0.516078681,0.420227761,"6,018",9.59%,WI,La Crosse County,55063
3288,3977,7602,0.432517758,0.523151802,689,9.06%,WI,Lafayette County,55065
3260,6436,10093,0.322996136,0.637669672,"3,176",31.47%,WI,Langlade County,55067
5370,8400,14563,0.368742704,0.57680423,"3,030",20.81%,WI,Lincoln County,55069
14563,23234,39991,0.364156935,0.580980721,"8,671",21.68%,WI,Manitowoc County,55071
26476,39010,68849,0.3845517,0.566602275,"12,534",18.21%,WI,Marathon County,55073
6243,12995,19979,0.312478102,0.650432955,"6,752",33.80%,WI,Marinette County,55075
2808,4712,7813,0.359400998,0.603097402,"1,904",24.37%,WI,Marquette County,55077
1003,269,1279,0.784206411,0.210320563,734,57.39%,WI,Menominee County,55078
288986,126091,434970,0.664381452,0.28988436,"162,895",37.45%,WI,Milwaukee County,55079
7047,11442,19554,0.360386622,0.585148819,"4,395",22.48%,WI,Monroe County,55081
5886,13255,19924,0.295422606,0.665278057,"7,369",36.99%,WI,Oconto County,55083
8103,11677,20837,0.388875558,0.56039737,"3,574",17.15%,WI,Oneida County,55085
38087,49884,93474,0.407460898,0.533667116,"11,797",12.62%,WI,Outagamie County,55087
20167,30458,53368,0.377885624,0.570716534,"10,291",19.28%,WI,Ozaukee County,55089
1345,2228,3746,0.359049653,0.594767752,883,23.57%,WI,Pepin County,55091
8380,11260,21089,0.397363554,0.53392764,"2,880",13.66%,WI,Pierce County,55093
7568,13864,22691,0.333524305,0.610991142,"6,296",27.75%,WI,Polk County,55095
18524,17310,38123,0.4859009,0.454056606,"1,214",3.18%,WI,Portage County,55097
2671,4562,7560,0.353306878,0.603439153,"1,891",25.01%,WI,Price County,55099
42506,46620,93678,0.45374581,0.497662205,"4,114",4.39%,WI,Racine County,55101
3577,4021,7962,0.44925898,0.505023863,444,5.58%,WI,Richland County,55103
39336,31483,75043,0.52417947,0.419532801,"7,853",10.46%,WI,Rock County,55105
2171,4564,7029,0.308863281,0.649310001,"2,393",34.04%,WI,Rusk County,55107
14692,14791,31238,0.470324605,0.473493822,99,0.32%,WI,Sauk County,55111
2846,4625,7767,0.366422042,0.595468006,"1,779",22.90%,WI,Sawyer County,55113
6056,12742,19697,0.307457989,0.646900543,"6,686",33.94%,WI,Shawano County,55115
22636,32368,58290,0.388334191,0.555292503,"9,732",16.70%,WI,Sheboygan County,55117
17496,26123,46819,0.37369444,0.55795724,"8,627",18.43%,WI,Saint Croix County,55109
2398,6589,9417,0.254645853,0.699692046,"4,191",44.50%,WI,Taylor County,55119
5645,7370,13581,0.415654223,0.542669906,"1,725",12.70%,WI,Trempealeau County,55121
6351,6994,14193,0.447474107,0.49277813,643,4.53%,WI,Vernon County,55123
4769,8169,13453,0.354493422,0.607225154,"3,400",25.27%,WI,Vilas County,55125
18706,28848,50570,0.369903105,0.570456793,"10,142",20.06%,WI,Walworth County,55127
3283,5404,9059,0.362402031,0.596533834,"2,121",23.41%,WI,Washburn County,55129
20854,51729,76246,0.27350943,0.678448706,"30,875",40.49%,WI,Washington County,55131
